file_number,message_id,title,author
100000,message #305932,Simple Text editor in RCP,Eclipse User
100001,message #305935,Fast First Page,Eclipse User
100002,message #305937,multiple masterpages (page orientation),Eclipse User
100003,message #305941,How to say birt don't count pages,Eclipse User
100004,message #305943,Show BIRT editor preview tab in RCP,Anders Vegh
100005,message #305944,Develop multiple versions of a plugin at once,Eclipse User
100006,message #305945,Wrong results in crosstab,Hans
100007,message #305946,Metal L&F for Eclipse Platform 3.2 (Carbon-MACOSX),Eclipse User
100008,message #305949,source code of org.eclipse.core.launcher.Main,John Willson
100009,message #305956,Compatibility between 2.2.1 and 2.3,Hans
100010,message #305959,Table styles help needed,Raheel Ashraf
100011,message #305962,MessageConsoleStream in Eclipse 3.2,Eclipse User
100012,message #305967,To Jason : XML DataSet Problem,Eclipse User
100013,message #305969,BIRT JBoss - Tomcat Deployment,Eclipse User
100014,message #305971,Set a XML DataSource Programmatically,Eclipse User
100016,message #305992,Prevent file deletion,Eclipse User
100017,message #305994,3.2 Import Project with COPY option marks all files as modified,Michael Giroux
100018,message #305996,delete Hyperbola Perspective,Al Mising name
100019,message #306001,My External Tools command is no longer saving dirty editors in Eclipse 3.2,Eclipse User
100020,message #306007,PDE extension schema editor help?,Eclipse User
100021,message #306008,Specific Q about extension schema,Eclipse User
100022,message #306010,Want to enable/disable menu like close/close all,Eclipse User
100023,message #306011,Plugin access restriction rule changes in Eclipse 3.2,Cliff Liang
100024,message #306013,Help with MessageConsole (or consoles in general),Aniruddha Shevade
100025,message #306014,Can't start Eclipse today ...,Eclipse User
100026,message #306016,ANT: ${eclipse.home} not found,Eclipse User
100027,message #306017,Eclipse & CVS problem,Eclipse User
100028,message #306018,Retaining the checked state of a check box,Srivatsan
100029,message #306019,Disappearing Help,"J. Michael Dean, M.D."
100030,message #306020,"How to disable the ""Build Automaticall"" feature",Eclipse User
100031,message #306025,How to clear a MessageConsoleStream,Eclipse User
100032,message #306026,Selection Service Race condition?,Eclipse User
100033,message #306028,"Workspace build-path and plugin issues, corruption?",Miles Parker
100034,message #306031,cvs synchonization error,Eclipse User
100035,message #306035,Trouble with LinkedModeUI,Eclipse User
100036,message #306042,ProgressManager throwing strange Job exception,Paul E. Keyser
100037,message #306047,"Eclipse FormEditor: How can I turned on the ""File->Revert"" action for form editor?",Alex Le
100038,message #306054,pde for equinox.http,Eclipse User
100039,message #306057,Custom IPropertySheetPage for model objects?,Eclipse User
100040,message #306058,"""Properties-View"" cannot be shown",Eclipse User
100041,message #306060,including java source code template in a new project,Michael Megliola
100042,message #306062,Problem migrating debug view to callisto,Eclipse User
100043,message #306063,Extending the existing Register view in Eclipse,Eclipse User
100044,message #306065,How to get the install location of a plugin,Eclipse User
100045,message #306066,Extending the existing Register view in Eclipse,Eclipse User
100046,message #306067,Finding the classloader from a bundle,Eclipse User
100047,message #306069,Properties View Menu,Mark Victory
100048,message #306071,"Adding ""Help"" menu items in the manifest",Eclipse User
100049,message #306072,"Key bindings: ""overwrite"" existing binding, define own context for view, activate it",Florian Huber
100050,message #306074,IClassPathEntry -- what form refers to an installed plug-in's classes?,Michael Megliola
100051,message #306075,How to give color to StatusLineContributionItem??,Eclipse User
100052,message #306076,Using FileDialog for SaveAs,Eclipse User
100053,message #306077,How to get the offset value after scrollbar scrolling?,Eclipse User
100054,message #306081,VIew Creation,Manuel Selva
100055,message #306086,Resource deletion listerner,Eclipse User
100056,message #306089,variables view & debugging jdk classes,Pavel Trka
100057,message #306090,Plugin gives NoClassDefFoundError in 3.2 while ok in 3.1 !,Eclipse User
