file_number,message_id,title,author,author_link,author_id
44000,message #142915,Profiling Web Application on JBOSS Attaching an Agent,surbhigl,index.php?t=usrinfo&id=65421&,65421
44001,message #142917,Two questions - team work,Krzysztof Adamski,index.php?t=usrinfo&id=10370&,10370
44002,message #142919,Get ContenPane and EditParts,Oelerink,index.php?t=usrinfo&id=58335&,58335
44003,message #142920,How to add an Item to a popmenu?,Eclipse User,/donate,0
44004,message #142923,how to change class file template?,Eclipse User,/donate,0
44005,message #142925,JSP Custom Tags,Eclipse User,/donate,0
44006,message #142929,Problem manipulating java source,Stefan Holzknecht,index.php?t=usrinfo&id=4239&,4239
44007,message #142935,How to feed (memory-only) DOM into XMLTableTreeViewer,Eclipse User,/donate,0
44008,message #142937,HTML like UI,Guillaume Brocker,index.php?t=usrinfo&id=7684&,7684
44009,message #142941,adaptable what does it mean in eclipse pugin.xml?,Eclipse User,/donate,0
44010,message #142946,modulus,No real name,index.php?t=usrinfo&id=22414&,22414
44011,message #142948,enabling JSP 2.0+ support,Eclipse User,/donate,0
44012,message #142955,TPTP going to die?,Eclipse User,/donate,0
44013,message #142960,RCP vs Plug-ins question,Barry Dresdner,index.php?t=usrinfo&id=27237&,27237
44014,message #142962,Just curious to know where are the Indexer files stored?,Neo,index.php?t=usrinfo&id=16722&,16722
44015,message #142965,YEar x-1 versus Year X,No real name,index.php?t=usrinfo&id=22414&,22414
44016,message #142971,can't execute an applet that's inside a package,Eclipse User,/donate,0
44017,message #142972,Why New Project wizard checks if dirs overlap?!,Neo,index.php?t=usrinfo&id=16722&,16722
44018,message #142979,GetEditPart only with semantic model element,Eclipse User,/donate,0
44019,message #142983,Integrating Help For 3RD Party JDBC Driver,Eclipse User,/donate,0
44020,message #142988,Debug Current Instruction Pointer,Michael Trompertz,index.php?t=usrinfo&id=646&,646
44021,message #142989,Mapping or implementation by hand in case of drawing referenced parts.,Dawid Kostrzycki,index.php?t=usrinfo&id=56935&,56935
44022,message #142992,Open Source Software Research,Eclipse User,/donate,0
44023,message #143000,Help with remote debugging,Eclipse User,/donate,0
44024,message #143007,Tomcat failed to start,Eclipse User,/donate,0
44025,message #143008,"The ""problems"" tab not refreshing",Eclipse User,/donate,0
44026,message #143014,Shorcuts disappear when close diagram,Richy,index.php?t=usrinfo&id=42698&,42698
44027,message #143015,Feature Update with external jars?,Eclipse User,/donate,0
44028,message #143021,JBossIDE strange packaging,Eclipse User,/donate,0
44029,message #143022,Right click to open windows context menu,Eclipse User,/donate,0
44030,message #143023,How to get dinamic elements in the master page?,Cristian Popescu,index.php?t=usrinfo&id=25795&,25795
44031,message #143025,Adding feature of control-lock,Eclipse User,/donate,0
44032,message #143026,GTKMM (How to put it work with Eclipse and CDT),Eclipse User,/donate,0
44033,message #143038,Auto insert full qualified name of a class (M7),Eclipse User,/donate,0
44034,message #143040,Saving (& Reloading) the ViewPort location,Eclipse User,/donate,0
44035,message #143044,Why does the *DocumentProvider does not reload changed resources?,Eclipse User,/donate,0
44036,message #143045,VE tested with Eclipse 3.4,Erik Hecht,index.php?t=usrinfo&id=41465&,41465
44037,message #143046,Vc toolkit 03 and CDT,devang,index.php?t=usrinfo&id=61713&,61713
44038,message #143047,can't enable GlobalActionHandler,Federico,index.php?t=usrinfo&id=10875&,10875
44039,message #143050,Install of XML-Plugin ...,Eclipse User,/donate,0
44040,message #143053,CreationToolEntry and SimpleFactory,Eclipse User,/donate,0
44041,message #143055,Where to start to build a standalone application based on Eclipse SDK?,Francesco Valle,index.php?t=usrinfo&id=54254&,54254
44042,message #143057,just jNI,Eclipse User,/donate,0
44043,message #143058,Library management,Eclipse User,/donate,0
44044,message #143061,expression for X-AXIS label,Vladimir,index.php?t=usrinfo&id=24183&,24183
44045,message #143066,plugins for visual class??,Eclipse User,/donate,0
44046,message #143068,java.lang.IllegalStateException: Workspace is closed.,Bill Winspur,index.php?t=usrinfo&id=32310&,32310
