file_number,message_id,title,author,author_link,author_id
10,message #23,Some thoughts,Chris Gross,index.php?t=usrinfo&id=8093&,8093
100,message #255,Webex: Target Management Meeting,Doug Gaff,index.php?t=usrinfo&id=13750&,13750
1000,message #2645,Re: GMF errors,Richard Gronback,index.php?t=usrinfo&id=17086&,17086
10000,message #30746,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10001,message #30751,Stumped by installation.,Eclipse User,/donate,0
10002,message #30757,Object Creation monitor Caller,Eclipse User,/donate,0
10003,message #30761,Problems with too many clicks on buttons,Roberto Sanchez,index.php?t=usrinfo&id=36571&,36571
10004,message #30762,How to get a classloader for the project in a builder,Eclipse User,/donate,0
10005,message #30763,Can't get update manager to function correctly,Eclipse User,/donate,0
10006,message #30770,New STEM Design Document Wiki,Daniel Ford,index.php?t=usrinfo&id=27941&,27941
10007,message #30782,How to relocate connection programmatically?,Hal,index.php?t=usrinfo&id=2865&,2865
10008,message #30789,IAC question,Musachy Barroso,index.php?t=usrinfo&id=20124&,20124
10009,message #30791,another class loader possible ???,Martin Lippert,index.php?t=usrinfo&id=3455&,3455
10010,message #30797,Add-in functinoality,Eclipse User,/donate,0
10011,message #30800,Parsing bug,Eclipse User,/donate,0
10012,message #30802,IBM contribution - plugs don't show in Eclipse,Eclipse User,/donate,0
10013,message #30803,XML output merging,Francis Gavino,index.php?t=usrinfo&id=52085&,52085
10014,message #30805,charting examples,Eclipse User,/donate,0
10015,message #30809,[ATL] 'null' values not explicitly set?,Eclipse User,/donate,0
10016,message #30810,Suggestion of generalizing Ecore CollectionTypes,Eclipse User,/donate,0
10017,message #30812,Cancelling PShelf selection,Roland Tepp,index.php?t=usrinfo&id=13874&,13874
10018,message #30815,[BUILD] R1.0-I,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
10019,message #30816,Impossible to install PDT using the Eclipse updater,Eclipse User,/donate,0
1002,message #2652,Tigerstripe Software,Anthony Hunter,index.php?t=usrinfo&id=4676&,4676
10020,message #30819,My First Plugin on M5 build,Eclipse User,/donate,0
10021,message #30822,Referencing another ecore model within the xtext grammer file,Dana W,index.php?t=usrinfo&id=59717&,59717
10022,message #30827,Easiest way to share Mylyn tasks across the team,Eclipse User,/donate,0
10023,message #30830,Multiple CVS Branches in One Workspace,Robert Stindl,index.php?t=usrinfo&id=1154&,1154
10024,message #30831,How do you change Perspective Decoration??,Eclipse User,/donate,0
10025,message #30836,Best plug-in strategy,Rahul Pilani,index.php?t=usrinfo&id=18322&,18322
10026,message #30837,Webtools and Custom taglibs,Eclipse User,/donate,0
10027,message #30840,[JET2] Custom XPath to access stereotypes.,Juan Pedro Silva,index.php?t=usrinfo&id=41598&,41598
10028,message #30850,Tcl Task Tag problems,Oph̩lie,index.php?t=usrinfo&id=51349&,51349
10029,message #30858,C Walkthrough,Eclipse User,/donate,0
1003,message #2661,Corona Logging,Eclipse User,/donate,0
10030,message #30860,new layoutManager,jonathan zhang,index.php?t=usrinfo&id=9769&,9769
10031,message #30861,"Problems when exporting data (WBS, actors) from EPF composer",Eclipse User,/donate,0
10032,message #30867,Xerces,Tarek Garoui,index.php?t=usrinfo&id=59438&,59438
10033,message #30868,Help with Mapped Drive change,Eclipse User,/donate,0
10034,message #30871,SQL Editor appearance,James A. Shepherd,index.php?t=usrinfo&id=28917&,28917
10035,message #30876,ODA Data Source help  needed,Mike Boyersmith,index.php?t=usrinfo&id=7525&,7525
10036,message #30880,Help with reader adapter extension,Lance Phillips,index.php?t=usrinfo&id=3028&,3028
10037,message #30883,Grid column resizing,Eclipse User,/donate,0
10038,message #30885,[BUILD] R0.95-M,Alex Panchenko,index.php?t=usrinfo&id=47448&,47448
