file_number,message_id,topic,author,link,domain,top_level_domain
220038,message #695631,Nightly update site doesn't work?,Manuel Doninger,https://hudson.eclipse.org/hudson/job/egit/lastSuccessfulBuild/artifact/org.eclipse.egit-updatesite/target/site/,hudson.eclipse.org,org
220042,message #695640,[EuGENia] Nodes with images,Dimitris Kolovos,http://eclipse.org/gmt/epsilon/examples/index.php?example=org.eclipse.epsilon.eugenia.examples.friends,eclipse.org,org
220042,message #695640,[EuGENia] Nodes with images,Pieter Van Gorp,http://screencast.com/t/u6jbe3W9Cln3,screencast.com,com
220042,message #695640,[EuGENia] Nodes with images,Pieter Van Gorp,http://screencast.com/t/RC5mtpoPCG9,screencast.com,com
220042,message #695640,[EuGENia] Nodes with images,Pieter Van Gorp,http://www.eclipse.org/gmt/epsilon/doc/articles/eugenia-nodes-with-images/,www.eclipse.org,org
220045,message #695643,[Zest] Layout algorithms to resize parent GraphContainers,Miles Parker,http://milesparker.blogspot.com/2009/11/zest-for-life.html,milesparker.blogspot.com,blogspot.com
220045,message #695643,[Zest] Layout algorithms to resize parent GraphContainers,Miles Parker,https://bugs.eclipse.org/bugs/show_bug.cgi?id=295002,bugs.eclipse.org,org
220049,message #695655,[CDO] NPE in GMF notation caused by CoreTypeMappings$TMCustom.getDefaultValue,Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
220049,message #695655,[CDO] NPE in GMF notation caused by CoreTypeMappings$TMCustom.getDefaultValue,Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
220049,message #695655,[CDO] NPE in GMF notation caused by CoreTypeMappings$TMCustom.getDefaultValue,Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
220055,message #695663,ClassCastException on ETL,Antonio Garcia-Dominguez,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=GMT&component=Epsilon,bugs.eclipse.org,org
220055,message #695663,ClassCastException on ETL,Federico Tomassetti,https://bugs.eclipse.org/bugs/show_bug.cgi?id=351812,bugs.eclipse.org,org
220061,message #695676,StackOverflowError during PAR deploy,Vladimir Stevanovic,https://bugs.eclipse.org/bugs/show_bug.cgi?id=351828,bugs.eclipse.org,org
220072,message #695697,Multiple questions on BIRT engine,Michael Williams,http://www.birt-exchange.org,www.birt-exchange.org,org
220077,message #695702,Beginner problem,Christian Dietrich,http://ckulla.wordpress.com/2011/02/06/hover-support-in-xtext-2-0/,ckulla.wordpress.com,com
220079,message #695709,Xtext project from existing ecore model,Jeppe Cramon,http://koehnlein.blogspot.com/2010/03/xtext-for-your-ecore-models.html,koehnlein.blogspot.com,blogspot.com
220086,message #695724,Remote debugging without binary,Hagen,http://sourceforge.net/projects/tds2dbg/,sourceforge.net,net
220090,message #695729,JasperWave 0.9.1 designer for JasperReports is released,Sergey Vyunnikov,http://jasperwave.com/dataAccessFAQ.html,jasperwave.com,com
220090,message #695729,JasperWave 0.9.1 designer for JasperReports is released,Sergey Vyunnikov,http://jasperwave.com,jasperwave.com,com
220090,message #695729,JasperWave 0.9.1 designer for JasperReports is released,Sergey Vyunnikov,http://getsatisfaction.com/jasperwave,getsatisfaction.com,com
220096,message #695741,Support for French Keyboard,Alexandra Schladebeck,http://en.wikipedia.org/wiki/File:KB_Canadian_French_text.svg,en.wikipedia.org,org
220096,message #695741,Support for French Keyboard,Olivier Parisy,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356784,bugs.eclipse.org,org
220106,message #695768,Missing bundle when adding/removing bundles in STS servers view,rshelley ,http://www.eclipse.org/forums/index.php/t/219555/,www.eclipse.org,org
220106,message #695768,Missing bundle when adding/removing bundles in STS servers view,rshelley ,http://www.eclipse.org/forums/index.php/t/219229/,www.eclipse.org,org
220119,message #695794,problem with import acm.   type,Russell Bateman,http://www.vogella.de,www.vogella.de,de
220126,message #695813,[Acceleo] Progress Reporting,Stephane Begaudeau,http://download.eclipse.org/modeling/m2t/acceleo/updates/releases/3.1,download.eclipse.org,org
220126,message #695813,[Acceleo] Progress Reporting,Stephane Begaudeau,http://stephanebegaudeau.tumblr.com,stephanebegaudeau.tumblr.com,com
220126,message #695813,[Acceleo] Progress Reporting,Stephane Begaudeau,http://docs.obeonetwork.com/acceleo,docs.obeonetwork.com,com
220137,message #695830,DateTime Widget Date Format,Lakshmi Shanmugam,https://bugs.eclipse.org/bugs/show_bug.cgi?id=248075,bugs.eclipse.org,org
220144,message #695838,[EMF Compare] Scalability issues on GenericDiffEngine.getMatchedEObject(EObject) &amp; AbstractC,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=352002,bugs.eclipse.org,org
220161,message #695873,"Label(x,y) constructor is not defined[solved]",synhedionn Mising name,http://www.eclipse.org/articles/Article-SWT-DND/DND-in-SWT.html#_Drag_Source,www.eclipse.org,org
220175,message #695891,NullPointerException in LazyLinker: EPackage is null for EClass from no-namespace XML model,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
