file_number,message_id,topic,link,domain,top_level_domain
1000002,message #305932,Simple Text editor in RCP,http://www.eclipse.org/eclipse/platform-text/development/rcp/examples/index.html,www.eclipse.org,org
1000058,message #305944,Develop multiple versions of a plugin at once,http://www.restlet.org,www.restlet.org,org
1000058,message #305944,Develop multiple versions of a plugin at once,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151044,bugs.eclipse.org,org
1000199,message #306001,My External Tools command is no longer saving dirty editors in Eclipse 3.2,https://bugs.eclipse.org/bugs/show_bug.cgi?id=146298,bugs.eclipse.org,org
1000208,message #306007,PDE extension schema editor help?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151025,bugs.eclipse.org,org
1000360,message #306042,ProgressManager throwing strange Job exception,https://bugs.eclipse.org/bugs/show_bug.cgi?id=123800,bugs.eclipse.org,org
1000360,message #306042,ProgressManager throwing strange Job exception,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151318,bugs.eclipse.org,org
1000524,message #306076,Using FileDialog for SaveAs,https://bugs.eclipse.org/bugs/show_bug.cgi?id=4727,bugs.eclipse.org,org
1000565,message #306089,variables view & debugging jdk classes,http://www.brkerez.cz/temp/debug.png,www.brkerez.cz,cz
1000609,message #306096,string translation for dynamic variables,http://help.eclipse.org/help31/topic/org.eclipse.platform.doc.isv/reference/extension-points/org_eclipse_core_variables_dynamicVariables.html,help.eclipse.org,org
1000609,message #306096,string translation for dynamic variables,http://help.eclipse.org/help31/topic/org.eclipse.platform.doc.user/concepts/concepts-exttools.htm,help.eclipse.org,org
1000665,message #306107,[HowTo] add F1-help to toolbar items?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=152330,bugs.eclipse.org,org
1000683,message #306112,Workspace compatibility Question,http://www.eclipse.org/eclipse/development/eclipse_project_plan_3_2.html,www.eclipse.org,org
1000683,message #306112,Workspace compatibility Question,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151717,bugs.eclipse.org,org
1000718,message #306117,"react to ""refresh"" in project explorer and refreshing in general in commons navigator?",http://www.opera.com/mail/,www.opera.com,com
1000759,message #306121,help with releng.eclipsebuilder,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.releng.eclipsebuilder/readme.html?rev=1.24,dev.eclipse.org,org
1000774,message #306126,How to create a performance test,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/org.eclipse.test.performance/doc/Performance%20Tests%20HowTo.html,dev.eclipse.org,org
1000822,message #306134,[Targets]: No targets could be determined for the buildfile,https://bugs.eclipse.org/bugs/show_bug.cgi?id=143008,bugs.eclipse.org,org
1000822,message #306134,[Targets]: No targets could be determined for the buildfile,https://bugs.eclipse.org/bugs/show_bug.cgi?id=143008#c6,bugs.eclipse.org,org
1000878,message #306146,Launching framework depends on JDT in Eclipse 3.2,http://www.pocketmt.com,www.pocketmt.com,com
1000902,message #306150,How to force update of Decorations?,http://www.eclipse.org/articles/Article-Decorators/decorators.html,www.eclipse.org,org
1000902,message #306150,How to force update of Decorations?,http://www.pocketmt.com,www.pocketmt.com,com
1000972,message #306169,Fragment files,http://www.eclipse.org/articles/Article-Internationalization/how2I18n.html,www.eclipse.org,org
