file_number,message_id,topic,author,link,domain,top_level_domain
100000,message #305932,Simple Text editor in RCP,Eclipse User,http://www.eclipse.org/eclipse/platform-text/development/rcp/examples/index.html,www.eclipse.org,org
100005,message #305944,Develop multiple versions of a plugin at once,Eclipse User,http://www.restlet.org,www.restlet.org,org
100005,message #305944,Develop multiple versions of a plugin at once,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151044,bugs.eclipse.org,org
100019,message #306001,My External Tools command is no longer saving dirty editors in Eclipse 3.2,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=146298,bugs.eclipse.org,org
100020,message #306007,PDE extension schema editor help?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151025,bugs.eclipse.org,org
100036,message #306042,ProgressManager throwing strange Job exception,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=123800,bugs.eclipse.org,org
100036,message #306042,ProgressManager throwing strange Job exception,Paul E. Keyser,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151318,bugs.eclipse.org,org
100052,message #306076,Using FileDialog for SaveAs,Grant Gayed,https://bugs.eclipse.org/bugs/show_bug.cgi?id=4727,bugs.eclipse.org,org
100056,message #306089,variables view & debugging jdk classes,Pavel Trka,http://www.brkerez.cz/temp/debug.png,www.brkerez.cz,cz
100060,message #306096,string translation for dynamic variables,Eclipse User,http://help.eclipse.org/help31/topic/org.eclipse.platform.doc.isv/reference/extension-points/org_eclipse_core_variables_dynamicVariables.html,help.eclipse.org,org
100060,message #306096,string translation for dynamic variables,Eclipse User,http://help.eclipse.org/help31/topic/org.eclipse.platform.doc.user/concepts/concepts-exttools.htm,help.eclipse.org,org
100066,message #306107,[HowTo] add F1-help to toolbar items?,Paul E. Keyser,https://bugs.eclipse.org/bugs/show_bug.cgi?id=152330,bugs.eclipse.org,org
100068,message #306112,Workspace compatibility Question,Eclipse User,http://www.eclipse.org/eclipse/development/eclipse_project_plan_3_2.html,www.eclipse.org,org
100068,message #306112,Workspace compatibility Question,Michael Giroux,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151717,bugs.eclipse.org,org
100071,message #306117,"react to ""refresh"" in project explorer and refreshing in general in commons navigator?",Max Rydahl Andersen,http://www.opera.com/mail/,www.opera.com,com
100075,message #306121,help with releng.eclipsebuilder,Anil Samuel,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.releng.eclipsebuilder/readme.html?rev=1.24,dev.eclipse.org,org
100077,message #306126,How to create a performance test,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/org.eclipse.test.performance/doc/Performance%20Tests%20HowTo.html,dev.eclipse.org,org
100082,message #306134,[Targets]: No targets could be determined for the buildfile,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=143008,bugs.eclipse.org,org
100082,message #306134,[Targets]: No targets could be determined for the buildfile,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=143008#c6,bugs.eclipse.org,org
100087,message #306146,Launching framework depends on JDT in Eclipse 3.2,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100090,message #306150,How to force update of Decorations?,Eclipse User,http://www.eclipse.org/articles/Article-Decorators/decorators.html,www.eclipse.org,org
100090,message #306150,How to force update of Decorations?,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100097,message #306169,Fragment files,Andraz,http://www.eclipse.org/articles/Article-Internationalization/how2I18n.html,www.eclipse.org,org
100101,message #306178,Feature Request 151629 - Add com.jcraft.jsch to ANT plugin classpath,Michael Giroux,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151629,bugs.eclipse.org,org
100103,message #306185,Does eclipse provide any framework for launching console applications (compiler)?,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100107,message #306195,Serving external files as online help,Andy Cheadle,http://kb.mozillazine.org/Links_to_local_pages_don,kb.mozillazine.org,org
100107,message #306195,Serving external files as online help,Andy Cheadle,http://www.example.com,www.example.com,com
100108,message #306196,Questions about MultiPageEditor,Eclipse User,http://publib-b.boulder.ibm.com/Redbooks.nsf/RedbookAbstracts/sg246302.html?Open,publib-b.boulder.ibm.com,com
100109,message #306197,Can't find EFS excamples,Paul Webster,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-core-home/plugins/,dev.eclipse.org,org
100109,message #306197,Can't find EFS excamples,Eclipse User,http://wiki.eclipse.org/index.php/EFS,wiki.eclipse.org,org
100111,message #306200,cannot load class from jar file in eclipse plugin,Eclipse User,http://www.eclipse.org/emf/docs.php?doc=tutorials/xlibmod/xlibmod.html,www.eclipse.org,org
100111,message #306200,cannot load class from jar file in eclipse plugin,Eclipse User,http://www.eclipse.org/emf/docs.php#eclipsecon2006xmlbinding,www.eclipse.org,org
100122,message #306233,Checking a 3.1 project out into Eclipse 3.2,Eclipse User,http://www.biplane.com.au/~kauer/,www.biplane.com.au,com.au
100125,message #306241,PropertyView howto,Eclipse User,http://www.eclipse.org/articles/Article-Properties-View/properties-view.html,www.eclipse.org,org
100125,message #306241,PropertyView howto,Eclipse User,http://www.eclipse.org/articles/Article-Tabbed-Properties/tabbed_properties_view.html,www.eclipse.org,org
100126,message #306242,Font size in Javadoc hints too big,Stanimir Stamenkov,http://dev.eclipse.org/newslists/news.eclipse.tools.jdt/msg15607.html,dev.eclipse.org,org
100126,message #306242,Font size in Javadoc hints too big,Stanimir Stamenkov,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102987,bugs.eclipse.org,org
100132,message #306260,Java Structure Compare,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=92255,bugs.eclipse.org,org
100135,message #306271,The URL used to update features downloaded from a site should be the URL given to download it origin,Paul Webster,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.user/tasks/tasks-37.htm,help.eclipse.org,org
100136,message #306277,Can't get Code Folding Hover text to work,Ernest Pasour,http://www.eclipse.org/www/articles/Article-Folding-in-Eclipse-Text-Editors/folding.html,www.eclipse.org,org
100136,message #306277,Can't get Code Folding Hover text to work,Ernest Pasour,http://dev.eclipse.org/newslists/news.eclipse.platform/msg44918.html,dev.eclipse.org,org
100136,message #306277,Can't get Code Folding Hover text to work,Ernest Pasour,http://dev.eclipse.org/newslists/news.eclipse.newcomer/msg09895.html,dev.eclipse.org,org
100136,message #306277,Can't get Code Folding Hover text to work,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151955,bugs.eclipse.org,org
100136,message #306277,Can't get Code Folding Hover text to work,Eclipse User,http://www.eclipse.org/articles/Article-Folding-in-Eclipse-Text-Editors/folding.html,www.eclipse.org,org
100138,message #306279,Feature Request 151854 - display value of -showlocation at beginning of title bar,Michael Giroux,https://bugs.eclipse.org/bugs/show_bug.cgi?id=151854,bugs.eclipse.org,org
100138,message #306279,Feature Request 151854 - display value of -showlocation at beginning of title bar,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=43421,bugs.eclipse.org,org
100139,message #306281,How to activate the Edit Menu in the Workspace,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100141,message #306285,Disable logging,Raheel Ashraf,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
100155,message #306319,How to enable Merge buttons in CompareUI.openCompareDialog...,Eclipse User,http://www.eclipsezone.com/eclipse/forums/t53759.html#91953073,www.eclipsezone.com,com
100158,message #306323,ClassNotFoundException when running in -pdelaunch,Darin Swanson,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/ant_developing.htm,help.eclipse.org,org
100158,message #306323,ClassNotFoundException when running in -pdelaunch,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=152063,bugs.eclipse.org,org
100166,message #306347,[Common Navigator] Several questions on how-to use it,Nicolas Jouanin,http://scribbledideas.blogspot.com,scribbledideas.blogspot.com,blogspot.com
100166,message #306347,[Common Navigator] Several questions on how-to use it,Nicolas Jouanin,http://www.eclipse.org/newsportal/article.php?id=15267&group=eclipse.platform.rcp#15267,www.eclipse.org,org
100183,message #306400,Adding ant task from a plugin,Eclipse User,http://help.eclipse.org/help32/topic/org.eclipse.platform.doc.isv/guide/ant_contributing_task.htm,help.eclipse.org,org
100187,message #306405,Error on displaying Problem Marker in Problem View in Eclipse 3.2,Eclipse User,http://www.eclipseplugincentral.com/PNphpBB2-printview-t-3542-start-0.html,www.eclipseplugincentral.com,com
100192,message #306414,How do we show tooltips when the user hoovers a marker in an editor ?,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100193,message #306416,Proposal for Subversion support posted!,Eclipse User,http://www.eclipse.org/proposals/svn/,www.eclipse.org,org
100197,message #306422,Editors and coulours ??? how to ? please help,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100198,message #306423,Annotations vs Markers ?,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100205,message #306452,How to force refersh of decorations (in Project explorer) after a change in resources?,Eclipse User,http://www.pocketmt.com,www.pocketmt.com,com
100205,message #306452,How to force refersh of decorations (in Project explorer) after a change in resources?,Eclipse User,http://www.eclipse.org/articles/Article-Decorators/decorators.html,www.eclipse.org,org
100208,message #306457,"The borders of composites in Eclipse Form Section can't be paint, help~~~",Eclipse User,http://www.eclipse.org/articles/Article-Forms/article.html,www.eclipse.org,org
100228,message #306510,MultipageEditor & Outline Problem,Paul Webster,https://bugs.eclipse.org/bugs/show_bug.cgi?id=1917,bugs.eclipse.org,org
100237,message #306529,Callisto missing DebugEvent.CHANGE?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=3D144253,bugs.eclipse.org,org
