,file_number,message_id,title,author
0,11272,message #34991,"cannot resolve javax.ejb.SessionBean, javax.mail",Eclipse User
1,12267,message #38273,Questions about incorporate two RCP applications,Frank Du
2,12619,message #39490,Eclispe as a Development Platform,Eclipse User
3,13035,message #40981,Plugin and Fragment with AspectJ,Eclipse User
4,14721,message #46905,"Creating an empty project, using the article in the current eclipse magazine",Alexander Forschnr
5,14804,message #47181,Pollinate Status and Meeting Agenda 2004-09-30,Dan Rubel
6,15326,message #48984,NEWBIE question: how to get the contents of an XSDSchema->WSDL in Java,Eclipse User
7,15503,message #49558,"Problem getting all files/folders when unpack=""true""",Kent Beck
8,15849,message #50672,complain about SWT on OSX,Frank Radermacher
9,1621,message #4579,What's happening after 2.1?,Kevin Haaland
10,18236,message #58427,ScrollBar class constructor,Eclipse User
11,18872,message #60493,TimeStorm 2.0 beta release,Sam Robb
12,20535,message #65899,OCL expression help -- concat Strings with separator,Eclipse User
13,23299,message #75107,[ATL] MagicDraw and ATL,neto Mising name
14,23394,message #75392,problem with IResource delete() method,Eclipse User
15,24774,message #80256,web.xml: error in empty web project,Eclipse User
16,25351,message #82098,Is it possible to show different nodefigures for one element?,Eclipse User
17,25374,message #82160,Use ant to refresh workspace in eclipse,Eclipse User
18,27345,message #88768,How to use the side-affixed property?,Eclipse User
19,27403,message #88944,Problem upgrading from 2.1 to 2.1.1,Eclipse User
20,29230,message #94865,war files,Eclipse User
21,31694,message #102784,I can't get 3.0M8 working witth CDT2,Eclipse User
22,31860,message #103314,I get an error message despite importing jar files,Eclipse User
23,32453,message #105242,JDT search Engine: finding all descendants of a type?,Eclipse User
24,32819,message #106469,need help installing Birt,Eclipse User
25,34133,message #110724,Indeterministic error when changing properties,Wiktor
26,36600,message #118956,Error on watching cpp file,Eclipse User
27,37886,message #123196,How to add a Page Breaks in a Report?,Eclipse User
28,38074,message #123782,Re: Problem with CDT,Jean Couillaud
29,38136,message #124009,Changing programmaticaly the EList of a node,Youmm P.
30,40950,message #133080,TCP/IP Monitor not showing output message unless connect is successful,Eclipse User
31,41211,message #133918,BIRT 2.0.0 id problem,Said Taaouati
32,5206,message #15689,local style sheet file,Eclipse User
33,6834,message #20790,Headless pde build,Richard Rodseth
34,7077,message #21554,TableWrapLayout: position element at the beginning of a new row?,Fabian M.
35,7324,message #22358,input parametes and some suggestions,Sven Boden
36,7652,message #23382,[Announce] EMFT QUERY 1.0.0 I200602161056 is available,Vishy Ramaswamy
37,7950,message #24283,Serialize (pretty-print) - Xtext or TCS?,Dénes Harmath
38,44382,message #143963,Which Policy for handling CreateRequest?,Eclipse User
39,44577,message #144542,calculations using two datasets,Eclipse User
40,44720,message #144966,Console / stdout to file,Alexander Hofstede
41,45006,message #145824,Launch Web Services Explorer - Error,Ben Sisson
42,45678,message #147678,Launching Eclipse from Eclipse,Eclipse User
43,45876,message #148249,Web service question,Eclipse User
44,46940,message #151432,Loading and storing external resources,Eclipse User
45,47192,message #152157,Newbie Question,Eclipse User
46,47927,message #154287,"How to configure Eclipse ""Console"" to wrap ?",Eclipse User
47,48153,message #154915,Showing only a part of a line series?,Eclipse User
48,48375,message #155593,installing the webtools,Eclipse User
49,48616,message #156308,Editor Plugin Tutorial,Jean Couillaud
50,49866,message #159967,Not resolving an import,Eclipse User
51,51827,message #165689,Properties tabb,Eclipse User
52,52440,message #167492,How to block files in exported JAR,Kevin Duffey
53,53372,message #170208,RE: refresh wsdl?,Eclipse User
54,56399,message #179183,Error when attempting to debug under Solaris,Ali Ghorashi
55,57086,message #181247,Workbench/Workspace info plugin - does it exist?,Eclipse User
56,57116,message #181309,transfer eclipse project,Eclipse User
57,59012,message #186677,SwingChartViewerSelector Problem,Eclipse User
58,59786,message #189006,Is there any BIRT designer tool to use at runtime in Java app???,Lavanya Pinnamareddy
59,59895,message #189350,Error on keep opening multiple reports  (PDF),Tomomi
60,60841,message #192107,model with no visual information,Max Rydahl Andersen
61,61488,message #194094,How does context.getChartInstance().getBlock().getBounds().setHeight(900) work?,Gayatri Bora
62,61556,message #194282,windows+linux changing project type (portability issues),john walford
