,file_number,message_id,title,author
0,10686,message #33083,Anyone knows where to download pde.test.utils?,yonghe
1,11299,message #35061,handling setters.,Eclipse User
2,12554,message #39271,Javadoc for Nebula project,Eclipse User
3,14306,message #45394,EMFT-JET 0.7.1 Build Announcements,Paul Elder
4,15554,message #49748,Importing Preferences,Eclipse User
5,15728,message #50305,Formating a report programmatically,Nathan McKeown
6,1575,message #4412,Saving content of char[]/byte[]/String/StringBuffer to file,Taras Tielkes
7,16398,message #52466,Another bug - could not load the Tomcat server configuration,vijay
8,16691,message #53428,BIRT with ProblemMarkers in Eclipse.,Anand
9,19126,message #61370,Any way to disable or move the perspective buttons?,Eclipse User
10,19465,message #62480,Tile Editors in editorarea programmatically,MorPheus
11,21129,message #67769,AJ only working in top-level RCP/plug-in,Eclipse User
12,21875,message #70201,"""Repeated column in mapping for entity""",JG
13,2285,message #6615,Design editor preview  not work when subclassing AbstractTableModel,Emerson Cargnin
14,22992,message #74007,setBounds in Dialog,Emmanuel Marchal
15,2304,message #6688,Map an External Model to BPEL Model like uiextensionmodel?,Eclipse User
16,2308,message #6695,"Voice Tools Development Call Minutes: July 5, 2005",Brent D. Metz
17,23301,message #75118,subreports bound to calculated columns,Eclipse User
18,23959,message #77560,Struggling with converting lib jar to bundle,Eclipse User
19,25863,message #83770,mistake in MGF Build Instructions?,Eclipse User
20,26324,message #85280,[ATL] EMF-VM and modelhandlers,Eclipse User
21,27298,message #88622,Re: garbage collection,Genady Beryozkin
22,27366,message #88829,"[ANN] Reference Article ""Getting Starter"" Published",Eclipse User
23,29136,message #94591,Palette xmi changes: VE palette developers please read.,Eclipse User
24,30185,message #97860,Build path entry is missing: TOMCAT_HOME,Eclipse User
25,30398,message #98575,View: How to change the Icons,Frank Fischer
26,30906,message #100248,Existing Code not shown correctly,Eclipse User
27,31127,message #100973,Serializable class error,Eclipse User
28,31268,message #101419,HELP!!  Can't install Eclipse 3.1!!!,Eclipse User
29,31583,message #102424,Excluding files from build,Markus Schweizer
30,31678,message #102733,Another code generation for SWT/JFACE,Eclipse User
31,32085,message #104097,2.0RC some questions,anak
32,32941,message #106816,Stupid Eclipse 2.0 Install Question,Eclipse User
33,33095,message #107324,CDT2.0M9: Parser problem,Vaidotas RadÅ¾ius
34,33234,message #107793,First use and org.eclipse.swt.SWTException,Eclipse User
35,33710,message #109326,CDT 2.0 + ECLIPSE 3.0,RefuX Zanzeebarr
36,34075,message #110528,Please Help: Confused - All I need is IDE to dev SOAP Web Services,Eclipse User
37,34188,message #110860,Access to a bean property,Eclipse User
38,34980,message #113340,dialog box in a plugin,Eclipse User
39,35180,message #114106,Location of touchpoints for update site,Ryan Mising name
40,35523,message #115285,Help!!,Eclipse User
41,35613,message #115519,Creating your first Java Project,Eclipse User
42,36178,message #117505,toolbar rendering issue.,Scott Warner
43,3661,message #10853,JGit?,Eclipse User
44,37128,message #120676,OSGI error or something like it,Eclipse User
45,37155,message #120766,Loading Java class in the Plugin environment,Eclipse User
46,38390,message #124777,Update action bar,Eclipse User
47,38398,message #124807,start debugger at beginning,Eclipse User
48,39587,message #128747,Extracting CompilationUnit from the current  Java Visual Editor,Eclipse User
49,39780,message #129341,Global key command,Patrick J. McNerthney
50,39787,message #129359,Solaris 9 support?,Eclipse User
51,40411,message #131303,Changing Icon on nodes on Canvas,Eclipse User
52,40978,message #133155,Where are the images in technical proposals,Eclipse User
53,41911,message #136194,links on multiple reference reference,judicael ribault
54,42335,message #137554,Opening dialogs from a plugin,Andy Yang
55,42380,message #137712,Flat File Data Source?,Eclipse User
56,42560,message #138290,Indexing too agressive?,Vladimir Grishchenko
57,42727,message #138917,EditPart Layering problem reg,Eclipse User
58,5787,message #17272,DTP going to follow UI guidelines?,Larry Edelstein
59,796,message #2086,"datatools (cvs before 2 days), oracle , database explorer",Haris Peco
60,8085,message #24709,Sample HyadesLoggingLog4JSample,Eclipse User
61,866,message #2240,proposal questions,Tim Wagner
62,44014,message #142962,Just curious to know where are the Indexer files stored?,Neo
63,45230,message #146451,Don't know what to do... Jasper vs. BIRT,Eclipse User
64,45472,message #147118,"Debug using ""C/C++ Attach to Local Application""",Eclipse User
65,46110,message #148948,Output directory for managed library project,Eclipse User
66,46149,message #149091,How to append my own plugin,Eclipse User
67,46732,message #150821,Excel Export,Eclipse User
68,47784,message #153875,WTP 1.0 - failing when moving generated WSDL file,Eclipse User
69,48332,message #155461,Problems while using button border of draw2d,Eclipse User
70,48816,message #156950,JUnit not working in 3M7,Eclipse User
71,49051,message #157601,Serialized object viewer,Eclipse User
72,49903,message #160069,StatusLineContributionItem image not displaying?,Eclipse User
73,50616,message #162159,Problem with cin and cout,mc_plectrum
74,51446,message #164584,How 2 Debug,Eclipse User
75,51963,message #166075,Cvs on AIX 5.1 (newbie),Eclipse User
76,52854,message #168741,where wtp put the translated jsp java file,Eclipse User
77,53051,message #169302,"3.0 M5 ""Generate Getters and Setters..."" problem",Eclipse User
78,53054,message #169312,catch up classpath changes,Andrew Utkin
79,54907,message #174620,included jsp/bean errors,stuart mellanby
80,55246,message #175632,1.4 assert problems,Eclipse User
81,56004,message #177943,Explanation of Editing Domain Id in GMF editor,Eclipse User
82,56186,message #178511,Polygon Figure disappears when moved,Eclipse User
83,56411,message #179233,"""source not found in debug"" - but debugger works ok",Eclipse User
84,56423,message #179269,Linker doesn't add space between -l and path,Eclipse User
85,56522,message #179532,newbie eclipse + cvs question,Jim
86,57843,message #183364,Comments in XML Editor,Eclipse User
87,59215,message #187362,Eclipse 3.01- terminated: Javadoc generation.,Eclipse User
88,59234,message #187423,Extending the HTML editor for content assist,Eclipse User
89,59882,message #189320,Access underlying EMF model from a different plugin,Eclipse User
90,60792,message #191966,Source vs Package,Eclipse User
91,62251,message #196404,mouseDragged,Eclipse User
92,62341,message #196653,child not selectable,Eclipse User
93,62483,message #197067,WST 2.0: Server for Tomcat: Enable Tomcat debug mode in WST 1.5,Eclipse User
94,62504,message #197119,Setting editor indent level to 2,Eclipse User
95,62615,message #197503,PDF Hyperlink,Manmeet Bindra
96,63686,message #200724,perspective extension,Sapna George
97,63999,message #201598,compiling problems (noob),Eclipse User
98,64155,message #202065,Shadow Nodes,Gary
99,64868,message #204200,Create child inside parent Figure,Luis Pedro
100,65497,message #205937,Projects built because they are referenced do not have consoles?,Don Porges
101,65530,message #206038,How to creat multiports web service by bottom-up method,Eclipse User
102,66269,message #208199,Unit tests for GEF,Eclipse User
103,68026,message #213425,Significance? org.eclipse.wtp,Vinay
104,69511,message #217748,Building eclipse Error,Eclipse User
105,70046,message #219331,Deploying to or stopping a glassfish server that's already running,Dobes Vandermeer
106,70912,message #221790,Navigation with middle-click?,BoD
107,71274,message #222778,GDB breakpoints not working...,tBen
108,71534,message #223549,Add a file from SVN to project,Christy
109,73741,message #230479,JSPJavaHyperlinkDetector contains invalid attributes??,SÃ¸ren Krum
110,78139,message #242971,Possible bug?,Del Myers
111,78236,message #243232,"Use BIRT Report api ""without"" separate birt runtime (inside eclipse)",Eclipse User
112,78405,message #243705,R21 presentation in RCP,James Willans
113,78425,message #243763,Launch Equinox using source code but not JAR,Eclipse User
114,78855,message #245158,Populate Wizard from a CreationTool,Eclipse User
115,78953,message #245421,perspective close question,Eclipse User
116,79677,message #247712,List of standard GEF keyboard shortcuts?,Justin Dolezy
117,79921,message #248454,Enabling PVCS Integration in 3.0M9+,Eclipse User
118,80347,message #249697,How does the JDT Java editor display the 80-column limit line?,Alex Le
119,81250,message #252383,Not all files shown in Navigator View,Eclipse User
120,81687,message #253694,Keep jdt from interpreting .java file contents,Felix Dorner
121,82439,message #256014,"javaw.exe not found at launch, eclipse 2.1.3",Mathew Yeates
122,82706,message #256862,Running a design local,Eclipse User
123,82806,message #257165,Reg. Credentials Provider in RSE,Eclipse User
124,83729,message #259996,getMarker() deprecated,Tim Molter
125,84438,message #262223,tree-like hierachical xml representation,Eclipse User
126,84479,message #262348,Data Set Output Columns are incorrect on stored procedure,Eclipse User
127,84548,message #262563,"Does ""Select Enclosing Element "" selects too much?",GÃ¶rge Albrecht
128,85403,message #265125,Eclipse editor spelling dictionary,Russell Bateman
129,86240,message #267661,How can I debug the JDT itse;f?,Alex Le
130,87515,message #271477,Printing an AST tree,Eclipse User
131,87969,message #272795,Adding an encrypted password to a custom ODA implementation.,Eclipse User
132,101685,message #310622,workbenchwindow.run(IRunnableWithProgress) steals UI focus,Alan Boxall
133,101873,message #311149,update manager and install handler,Eclipse User
134,104776,message #320086,Getting a disabled editor page,Eclipse User
135,105533,message #322505,Eclipse ScrolledForm not scrolling.,Ketan Padegaonkar
136,105844,message #323420,Include multiple features in build output,Upkar Lidder
137,105960,message #323796,Clear Bold Tab Highlight (warnOfContentChange),Adam Cabler
138,106871,message #326730,Editor positions,Jan Kohnert
139,106889,message #326787,How to use an external cvs diff tool,Eclipse User
140,107168,message #327696,Drop Down Tree View,Eclipse User
141,107341,message #328198,Class loader problems,Eclipse User
142,107606,message #329011,Exclude classes from product export,Ola Spjuth
143,108657,message #332071,Databinding throws NPE,Eclipse User
144,109471,message #334520,JRE Refresh on the Mac,Eclipse User
145,110276,message #336896,Shouldn't autobuild iterate until all builder-produced resource deltas are consumed?,Eclipse User
146,110802,message #338370,XLS export & cell format,Alex Gfeller
147,111078,message #339168,Table styles help needed,Raheel Ashraf
148,111739,message #341077,"java.lang.NullPointerException,	at org.eclipse.birt.chart.factory.Generator.getRowExpressions",Eclipse User
149,112137,message #342221,Putting labels as title in dimensions' crosstabs,Hans
150,112773,message #344052,Set a XML DataSource Programmatically,Eclipse User
151,113741,message #346844,BIRT 2.2.1 Chart Run Time Error,Puttappaiah Muni
152,113903,message #347317,Disable logging,Raheel Ashraf
153,113950,message #347447,Need help on setting up to use Weblogic Connection Pool,Eclipse User
154,114799,message #349895,JBoss Deployment,Alex
155,114865,message #350084,Query -> Available Items; DB2 JDBC,Eclipse User
156,115454,message #351787,Fast First Page,Eclipse User
157,115614,message #352244,Show BIRT editor preview tab in RCP,Anders Vegh
158,115689,message #352465,Fast First Page,Eclipse User
159,117469,message #357587,How to say birt don't count pages,Eclipse User
160,118694,message #361154,Table border in a HTML Text in PDF,Gledson Rabelo
161,118812,message #361499,How a report can grow dynamically in width?,Hans
162,119366,message #363463,import  existing javascript & styles in rptdesign,venky 
163,119731,message #364736,BIRT and Oracle Distributed Query,Eclipse User
164,119954,message #365518,Gaps in graphs?,Remy Suen
165,120483,message #367398,birt-2.1.2 - Table Group ques...,NH Hockey Player
166,120970,message #369198,SWT on MIDP,Eclipse User
167,121613,message #371289,Stop Button from receiving focus,vadalis
168,121643,message #371360,Class Viewer,Eclipse User
169,123285,message #376551,'PropertyChangeListener' = Notification ?,Eclipse User
170,124246,message #380001,[Announce] UML at EclipseCon 2009,Kenn Hussey
171,125316,message #383872,New version (Rhea) of the OpenEmbeDD MDE platform,Vincent MAHE
172,125840,message #386000,Closing/reopening a view,exquisitus
173,125983,message #386579,xmi file from property editor,anupama
174,126310,message #387865,Best way to hook package registry (getEPackage)?,Eclipse User
175,126605,message #389033,Can`t use ResourceSet for WSDL,Eclipse User
176,127315,message #391700,why are not binary relations with association classes not dealt in EMF?,Venkat
177,127810,message #393602,Update site not working,Bryan Hunt
178,128123,message #394785,"ResourceSets, proxy resolution, and SDO?",Bryan Hunt
179,129585,message #400482,java object to SDO and back,Eclipse User
180,130956,message #405936,"Multiple questions on the ""Transient"" property and its effects on serialization to XMI and",Oliver Wong
181,88184,message #273434,Black-sun plugin errors,Michael Seele
182,88617,message #274559,Eclipse Java Clean & Rebuild,Eclipse User
