filenumber,purpose,message_id,title,author_name,full_link,link_path,domain,top_level_domain
728528,Q&A,message #1330113,"Another ""Ambiguous variable type defintions"" problem",Emre T,http://stackoverflow.com/questions/19702962/eclipse-manifest-mf-plugin-dependencies-different-icons,stackoverflow.com/questions,stackoverflow.com,com
628051,Q&A,message #1219680,Call xtend function in java,Christian Dietrich,http://xtext.itemis.com,http://xtext.itemis.com,xtext.itemis.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.lorenzobettini.it,http://www.lorenzobettini.it,www.lorenzobettini.it,it
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.purplesucker.com,http://www.purplesucker.com,www.purplesucker.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.myspace.com/supertrouperabba,www.myspace.com/supertrouperabba,www.myspace.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://tronprog.blogspot.com,http://tronprog.blogspot.com,tronprog.blogspot.com,blogspot.com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://longlivemusic.blogspot.com,http://longlivemusic.blogspot.com,longlivemusic.blogspot.com,blogspot.com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/src-highlite,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/gengetopt,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/gengen,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://doublecpp.sourceforge.net,http://doublecpp.sourceforge.net,doublecpp.sourceforge.net,net
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Sebastian Zarnekow,http://xtext.itemis.com,http://xtext.itemis.com,xtext.itemis.com,com
85708,Q&A,message #266027,Running eclipse-based applciation as standalone?,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/~checkout~/platform-ui-home/rcp/index.html,dev.eclipse.org/viewcvs,dev.eclipse.org,org
139534,Q&A,message #439798,is there a preferred RCP mechanism for updating editors based on model-changes caused in a view?,venkataramana m,http://www.eclipsezone.com/eclipse/forums/m91955225.html,www.eclipsezone.com/eclipse,www.eclipsezone.com,com
