,file_number,message_id,topic,author,link,domain,top_level_domain
0,10442,message #32194,[Announce] EMFT VALIDATION 1.0.0RC1 is available,Eclipse User,http://www.eclipse.org/emft/news/release-notes.php?version=1.0.0,www.eclipse.org,org
1,11097,message #34458,[buckminster-dev] +1 for Ed Merks on tools.buckminster,Karel Brezina,http://portal.eclipse.org/,portal.eclipse.org,org
2,11563,message #35905,Status update on some new features.,Ketan Padegaonkar,http://twitter.com/ketanpkr,twitter.com,com
3,12150,message #37846,What causes this Mylyn error?,Kaj Kandler,http://plan-b-for-openoffice.org/,plan-b-for-openoffice.org,org
4,13069,message #41104,install document,Ketan Padegaonkar,http://download.eclipse.org/technology/swtbot/docs/eclipsecon2009/,download.eclipse.org,org
5,13410,message #42282,GNU License text version,Eclipse User,http://www.eclipse.org/org/documents/epl-v10.php,www.eclipse.org,org
6,13928,message #44090,PDE-Build against a target platform,Andrew Niefer,http://help.eclipse.org/ganymede/index.jsp?topic=/org.eclipse.pde.doc.user/tasks/pde_version_qualifiers.htm,help.eclipse.org,org
7,143,message #376,[Epsilon] Make a reference from HUTN to an element of a pre-builded model,Louis Rose,"http://books.google.co.uk/books?id=ff-9ZYhvPwwC&pg=PA303&lpg=PA303&dq=uri+fragment+emf&source=web&ots=yyUmE-sQxC&sig=gLEPEPJV5vbTgY5oS0LUmpJ2ZMw&hl=en&a;mp;sa=X&oi=book_result&resnum=3&ct=result#PPA303,M1",books.google.co.uk,co.uk
8,15494,message #49527,To clear up some confusion regarding the committer election for Enrico...,Eclipse User,http://bugs.eclipse.org/224853,bugs.eclipse.org,org
9,15719,message #50285,Development build containing AspectJ 5 M2 candidate build,Eclipse User,http://www.eclipse.org/ajdt,www.eclipse.org,org
10,15823,message #50607,EJB3 annotations,Eclipse User,http://ejb.elver.org/GeneratedValue,ejb.elver.org,org
11,1667,message #4735,Open Financial Market Platform Workshop Podcast,Eclipse User,http://dev.eclipse.org/blogs/wayne/2007/10/16/open-financial-market-platform-workshop-services-for-a-banking-platform-2/,dev.eclipse.org,org
12,16841,message #53882,Re: Can't install a thing,Eclipse User,http://wiki.eclipse.org/DTP_1.6.2_Update_Manager_Issues,wiki.eclipse.org,org
13,17004,message #54430,Problem to extract filed by bug,Eclipse User,http://purl.org/dc/terms/,purl.org,org
14,18144,message #58093,Re: Formatted Date Control,Eclipse User,http://www.eclipse.org/nebula/widgets/cdatetime/cdatetime.php,www.eclipse.org,org
15,19383,message #62232,Xtext formatter,Moritz Eysholdt,http://xtext.itemis.com,xtext.itemis.com,com
16,20223,message #64893,memory indicator?,Eclipse User,http://webshop.ffii.org/,webshop.ffii.org,org
17,20688,message #66381,EMF at EclipseCon,Marcelo Paternostro,http://www.eclipsecon.org/2006/Sub.do?id=39,www.eclipsecon.org,org
18,2072,message #5916,[ANN] OneForEclipse - Eclipse Services,Thomas Derflinger,http://www.oneforeclipse.com,www.oneforeclipse.com,com
19,20985,message #67266,Can I have the same file in two tiles?,Eclipse User,http://www.catb.org/~esr/faqs/smart-questions.html#id3001578,www.catb.org,org
20,21184,message #67975,AJDT 1.4.1 for Eclipse 3.2 released (and more!),Matt Chapman,http://www.eclipse.org/ajdt/whatsnew141/,www.eclipse.org,org
21,21189,message #67993,Mascara Proposal,Eclipse User,http://eclipse.org/mylar,eclipse.org,org
22,22569,message #72565,Red cross next to project???,Cristian Spiescu,http://java.sun.com/xml/ns/j2ee,java.sun.com,com
23,24376,message #78945,How to get started with Teneo?,No real name,http://www.eclipse.org/emft/downloads/?project=teneo,www.eclipse.org,org
24,24780,message #80271,[WTP milestone plan] What about M4+?,Eclipse User,http://www.eclipse.org/webtools/development/main.html,www.eclipse.org,org
25,2485,message #7186,Namespace prefix,No real name,https://bugs.eclipse.org/bugs/show_bug.cgi?id=174838,bugs.eclipse.org,org
26,25575,message #82799,ToolTipText problem,Benjamin Muskalla,https://bugs.eclipse.org/bugs/show_bug.cgi?id=210275,bugs.eclipse.org,org
27,26337,message #85320,Extending the VE with RCP,Dave Orme,http://www.db4o.com,www.db4o.com,com
28,26884,message #87241,[ATL] Set an attribute mixed (EFeatureMapEntry),Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=156094,bugs.eclipse.org,org
29,26945,message #87470,ATL transformations - applying profiles to a model,William Piers,http://www.eclipse.org/modeling/m2m/downloads/index.php?project=atl,www.eclipse.org,org
30,26955,message #87508,[Teneo / JPOX],Martin Taal,https://bugs.eclipse.org/bugs/show_bug.cgi?id=194381,bugs.eclipse.org,org
31,26963,message #87526,Profiler integration?,Eclipse User,http://www.eclipse.org/eclipse/presentation/eclipse-slides.pdf,www.eclipse.org,org
32,27004,message #87705,Advice needed,Eclipse User,http://www.eclipse.org/birt/index.php?page=build/install.html,www.eclipse.org,org
33,27291,message #88604,[ANNOUNCE] Abbot for SWT 0.9.0,Tom Roche,http://www.sys-con.com/java/articleprint.cfm?id=1940,www.sys-con.com,com
34,274,message #706,update site,Paul Webster,http://wiki.eclipse.org/Command_Core_Expressions,wiki.eclipse.org,org
35,28229,message #91649,"[QVTO] Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",Eclipse User,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
36,29795,message #96684,[ANN] CodePro WebCast Thursday 1:00pm EDT,Eric Clayberg,http://www.instantiations.com/codepro/ws/,www.instantiations.com,com
37,29836,message #96815,params variable in chart,Eclipse User,http://www.eclipse.org/birt/2005/design,www.eclipse.org,org
38,30629,message #99300,diagram link not updating,John Yotka,http://www.eclipse.org/emf/2002/Ecore#//EString,www.eclipse.org,org
39,31096,message #100873,[CDO] how to handle object update conflicts,Eclipse User,http://www.eclipse.org/emf/2002/Ecore,www.eclipse.org,org
40,32009,message #103862,Native Launcher and Current/Working directory,Andrew Niefer,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102239,bugs.eclipse.org,org
41,32528,message #105507,Can't get xhtml1-strict.xsd to validate (M4),Larry Isaacs,http://www.w3.org/2001/XMLSchema,www.w3.org,org
42,33303,message #108005,EMFT - Mint - Build Announcements,Peter Nehrer,http://www.eclipse.org/modeling/emft/news/relnotes.php?project=mint&version=0.7.0RC1,www.eclipse.org,org
43,35590,message #115458,"Eclipse Equinox XSLT transformations, how?",Eclipse User,http://wiki.eclipse.org/Equinox_Transforms,wiki.eclipse.org,org
44,38308,message #124559,Where can I download Eclipse Platform API Specification (offline version),Marcin,http://help.eclipse.org/help31/nftopic/org.eclipse.platform.doc.isv/reference/api/overview-summary.html,help.eclipse.org,org
45,3876,message #11544,Installation Help - Two Plug-ins?,Ray Joseph,http://www.eclipse.org/osee/documentation/installation/eclipse_install.php,www.eclipse.org,org
46,39125,message #127208,How to disable Advanced properties view ?,Eclipse User,http://wiki.eclipse.org/index.php/GMF_Propsheet_Customization,wiki.eclipse.org,org
