,file_number,message_id,topic,author,link,domain,top_level_domain
0,10559,message #32636,property with File Browser Dialog,Eclipse User,http://www.eclipse.org/search/search.cgi?q=custom+cell+editor+file+dialog&cmd=Search%21&form=extended&wf=574a74&ps=10&m=all&t=5&ul=%2Fnewslists%2Fnews.eclipse.tools.emf&wm=wrd&t=News&t=Mail,www.eclipse.org,org
1,10862,message #33652,SWTBot Bugzilla question,Hans Schwaebli,https://bugs.eclipse.org/bugs/buglist.cgi?query_format=specific&order=relevance+desc&bug_status=__all__&product=SWTBot,bugs.eclipse.org,org
2,11160,message #34664,"Connection not created when mouse button is released over target anchor, need second click to finali",Alexandre Vermeerbergen,http://eclipsewiki.swiki.net/50#hellogef6,eclipsewiki.swiki.net,net
3,12323,message #38511,Error while opening editor,Kevin KIN-FOO,http://wiki.eclipse.org/DLTK_IDE_Guide:Step_2._Towards_an_Editor,wiki.eclipse.org,org
4,12389,message #38717,annoying loud beep,Genady Beryozkin,http://www.genady.net/,www.genady.net,net
5,13353,message #42059,[Announce] EMFT JET 0.7.1 M200607271220 is available,Paul Elder,http://download.eclipse.org/technology/emft/downloads/?proj=jet,download.eclipse.org,org
6,13571,message #42907,Target Executable from the Command Line,Ketan Padegaonkar,http://download.eclipse.org/technology/swtbot/docs/videos/beginners/SWTBotHeadlessTestingForNovices/,download.eclipse.org,org
7,13677,message #43255,Re: BkzmegnYAP,Werner Keil,http://utenti.lycos.it/graciewaits/10feet-in-meters.html,utenti.lycos.it,it
8,13862,message #43896,[Xtext] Can any compare Xtext with TCS?,Sebastian Zarnekow,http://wiki.eclipse.org/Xtext/Documentation#EPackage_import,wiki.eclipse.org,org
9,14274,message #45275,Re: [OCL Tools] downloads?,Miguel Garcia,http://www.sts.tu-harburg.de/~mi.garcia,www.sts.tu-harburg.de,de
10,14636,message #46573,Mylyn 2.3.2 is now available / new update site for ganymede,Eclipse User,http://eclipse.org/mylyn/downloads/,eclipse.org,org
11,14787,message #47130,"Help needed, cannot set up an SVN repository",Igor Burilo,http://www.eclipse.org/downloads/download.php?file=/technology/subversive/0.7/builds/Subversive-incubation-0.7.8.I20090506-1500.zip,www.eclipse.org,org
12,14827,message #47257,[Announce] TMF XTEXT 0.7.0RC3 is available,Patrick Schoenbach,http://www.eclipse.org/modeling/tmf/news/relnotes.php?project=xtext&version=0.7.0RC3,www.eclipse.org,org
13,14864,message #47362,LinkageError / IncompatibleClassChangeError,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=45441,bugs.eclipse.org,org
14,15751,message #50377,Target Platform within Eclipse 3.5M6,Marco  Lehmann-Mörz,http://download.eclipse.org/technology/babel/update-site/ganymede/,download.eclipse.org,org
15,15877,message #50755,Tomcat & WTP,Eclipse User,http://www.eclipse.org/webtools/initial-contribution/IBM/Getting%20Started.html,www.eclipse.org,org
16,16070,message #51344,[ATL] General Question XML2XML,Eclipse User,http://wiki.eclipse.org/KM3,wiki.eclipse.org,org
17,1633,message #4620,EclipseWorld technical program announced,Alan Zeichick,http://www.eclipseworld.net/,www.eclipseworld.net,net
18,17067,message #54662,Teneo Build Announcement Thread,Martin Taal,http://www.eclipse.org/modeling/emft/downloads/?project=teneo&showAll=1&hlbuild=S200804071116#S200804071116,www.eclipse.org,org
19,17080,message #54692,OCL Checkers,Eclipse User,http://www.malcom-mac.com/nemo,www.malcom-mac.com,com
20,17166,message #54988,enumeration-facet of union types,Klaas Dellschaft,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
21,17255,message #55279,How to model in XSD?,Conor Missing name,http://www.w3.org/2001/XMLSchema,www.w3.org,org
22,17643,message #56541,Eclipse xtext projects to Central Maven Repository,Johan Vogelzang,http://www.eclipse.org/newsportal/article.php?id=42808&group=eclipse.tools.emf#42808,www.eclipse.org,org
23,17885,message #57234,Live app,Eclipse User,http://eclipsediscovery.yoxos.com,eclipsediscovery.yoxos.com,com
24,18867,message #60482,[Announce] M2T XPAND 0.7.0M7a is available,Patrick Schoenbach,http://www.eclipse.org/modeling/m2t/news/relnotes.php?project=xpand&version=0.7.0M7a,www.eclipse.org,org
25,1950,message #5593,Web App Creation - Is It Possible?,Eclipse User,http://www.eclipse.org/eclipse/development/eclipse_project_plan_2_2.html,www.eclipse.org,org
26,19511,message #62599,JSP compiler / Jasper bundle,Harald Niesche,http://www.osxa.org/wiki/JasperBundle,www.osxa.org,org
27,19719,message #63283,xs:redefine,Eclipse User,http://www.w3.org/2001/XMLSchema,www.w3.org,org
28,20440,message #65592,[ANN] CodePro Express End-of-Quarter Special,Eric Clayberg,http://www.instantiations.com/codepro/ws/cpscomparativeanalysis.htm,www.instantiations.com,com
29,205,message #502,New Java AST tool based on Java Abstract Syntax Discovery Tool,Gabriel BARBIER,https://bugs.eclipse.org/bugs/show_bug.cgi?id=259234,bugs.eclipse.org,org
30,2088,message #5953,Re: [ATL] Looking for BPMN and BPEL MetaModels,Stephane Drapeau,http://www.eclipse.org/newsportal/article.php?id=761&group=eclipse.stp#761,www.eclipse.org,org
31,2091,message #5961,SML validation exception,No real name,http://wiki.eclipse.org/images/8/8f/Backup-v2.zip,wiki.eclipse.org,org
32,22158,message #71130,Opening a File,Eclipse User,http://bugs.eclipse.org/bugs/show_bug.cgi?id=37935,bugs.eclipse.org,org
33,22454,message #72163,Q. Formating JSP screws up document,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=84648,bugs.eclipse.org,org
34,22667,message #72941,[Teneo] Possible to Override Generation of hibernate.hbm.xml?,Martin Taal,http://www.elver.org/hibernate/ejb3_examples.html,www.elver.org,org
35,23291,message #75080,LifeCycleLock workaround for 1.1 M2,Eclipse User,http://rap.innoopract.com/rapdemo/rms,rap.innoopract.com,com
36,23603,message #76201,Makefiles and migrating to Eclipse,Eclipse User,http://ant.apache.org/,ant.apache.org,org
37,23618,message #76245,Installing on Eclipse 3.4,Eclipse User,http://wiki.eclipse.org/index.php/User:Nickb,wiki.eclipse.org,org
