main_topic,subtopic,frequency
Archived,AM3,94
Archived,AMW,80
Archived,ATF,65
Archived,Albireo,75
Archived,Apogee,18
Archived,Apricot,3
Archived,B3,367
Archived,BPMN Modeler,128
Archived,Blinki,23
Archived,Board committer reps ,63
Archived,C-Sharp,17
Archived,COBOL,54
Archived,COSMOS,164
Archived,Chinese users,9
Archived,Cloud Deployment Toolkit,4
Archived,Corona,25
Archived,DSDP,245
Archived,DSDP - Device Debugging,97
Archived,DSDP - Native Application Builder (NAB),31
Archived,DSDP - Tools for Mobile Linux (TML),51
Archived,EGL Development Tools,277
Archived,EMF Client,9
Archived,EMF Store,24
Archived,EMF-IncQuery,78
Archived,Eclipse Examples,65
Archived,Eclipse LSP4E,1
Archived,Eclipse Monkey Project,9
Archived,Eclipse Process Manager (Stardust),339
Archived,Esl,4
Archived,Faceted Project Framework,49
Archived,GEMS,9
Archived,GMT (Generative Modeling Technologies),595
Archived,Glimmer,22
Archived,Gyrex,42
Archived,Hibachi,25
Archived,Higgins,86
Archived,IAM (Eclipse Integration for Apache Maven),242
Archived,IDE4EDU,8
Archived,IMP,289
Archived,Koneki,228
Archived,Krikkit,1
Archived,M2M (model-to-model transformation),2377
Archived,MOFScript,70
Archived,MST,13
Archived,Maven Integration (M2E),261
Archived,Maynstall,6
Archived,Memory Analyzer (MAT),141
Archived,Mihini,1
Archived,OFMP,82
Archived,OHF,750
Archived,OMCW,3
Archived,ORMF,124
Archived,P2 dev,69
Archived,Potomac,4
Archived,Pulsar,52
Archived,Runtime Analysis Tools,3
Archived,ScalaModules,6
Archived,Sequoyah,9
Archived,Service Component Architecture (SCA) Tools,165
Archived,Service Oriented Architecture,11
Archived,Service Oriented Architecture Tools Platform (STP),446
Archived,Silverlight Development Toolkit (SLDT),17
Archived,Sketch,18
Archived,Spaces,18
Archived,Swordfish,44
Archived,Test and Performance Tools Platform (TPTP),2347
Archived,Textual Concrete Syntax (TCS),9
Archived,Tiaki,1
Archived,Tycho,47
Archived,UMLX,4
Archived,Visual Editor (VE),4337
Archived,Voicetools,264
Archived,WTP - PAVE,14
Archived,Wazaabi,5
Archived,Woolsey,3
Archived,Xtend,2
Archived,eBAM,14
Archived,eBPM,9
Archived,g-Eclipse,23
Archived,openArchitectureWare,10
Archived,secRT,3
Eclipse Projects,4DIAC - Framework for Distributed Industrial Automation and Control,308
Eclipse Projects,ACTF,55
Eclipse Projects,APP4MC,3
Eclipse Projects,Advanced Scripting Environment (EASE),56
Eclipse Projects,BIRT,29019
Eclipse Projects,BPMN 2.0 Modeler,395
Eclipse Projects,Babel,329
Eclipse Projects,Buckminster,1437
Eclipse Projects,Buckminster dev,428
Eclipse Projects,Buildship,9
Eclipse Projects,Californium (Cf) CoAP Framework,31
Eclipse Projects,Cloud Application Management Framework,1
Eclipse Projects,Code Recommenders,77
Eclipse Projects,Commercial,597
Eclipse Projects,Concierge,2
Eclipse Projects,DSDP - Mobile Tools for Java (MTJ),548
Eclipse Projects,DSDP - Real-Time Software Components (RTSC),216
Eclipse Projects,DSDP - Target Management,684
Eclipse Projects,DTP,1374
Eclipse Projects,Dali,612
