file_number,message_id,title,author,purpose
154170,message #485567,Using name of source file in generation,Marco,Q&A
728528,message #1330113,"Another ""Ambiguous variable type defintions"" problem",Emre T,Q&A
628051,message #1219680,Call xtend function in java,Caroline Smith,Q&A
314487,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,Q&A
106904,message #326841,Setting parameters via API,Eclipse User,Q&A
191306,message #606853,Validation Exception with Teneo 0.7.5 (April 22) when moving to EMF 2.2.2,Sundeep Prakash,Q&A
85708,message #266027,Running eclipse-based applciation as standalone?,Eclipse User,Q&A
139534,message #439798,is there a preferred RCP mechanism for updating editors based on model-changes caused in a view?,Paul E. Keyser,Q&A
285273,message #790811,unable to launch,yasin alm,Q&A
123228,message #376309,oAW error :'Couldn't find operation....',Eclipse User,Q&A
98267,message #301212,Compatibility between 2.2.1 and 2.3,Hans,Q&A
192124,message #610082,[Compare] Non-eclipse context,user,General discussion
204538,message #654093,Generated Xtext FAQ,Stefan Henss,Misuse
31694,message #102784,I can't get 3.0M8 working witth CDT2,Eclipse User,Q&A
801581,message #1410808,Trying to manually install mylyn using copy&paste for Ubuntu eclipse luna,Yongshin Kim,Q&A
143636,message #452270,Toggle Toolbar button,Mark Victory,Q&A
358073,message #880713,"New to Eclipse, not sure what version is right for my app.",Jeremy Booth,Misuse
201913,message #645169,Java Bean Problem,Ron A,Q&A
131867,message #409632,validating the diagram while saving,aashu aggarwal,Q&A
196164,message #625201,Remote service registration using OSGi Blueprint,Raj Saini,Q&A
56399,message #179183,Error when attempting to debug under Solaris,Ali Ghorashi,Q&A
178277,message #566464,New EclipseUML 2008 for Java,Vlad Varnica,Announcement
764858,message #1367356,Failure of executing StupidModel,Jimin Hwa,Q&A
44577,message #144542,calculations using two datasets,Eclipse User,Q&A
40950,message #133080,TCP/IP Monitor not showing output message unless connect is successful,Eclipse User,Q&A
59895,message #189350,Error on keep opening multiple reports (PDF),Tomomi,Q&A
118346,message #360118,"java.lang.NullPointerException, at org.eclipse.birt.chart.factory.Generator.getRowExpressions",Eclipse User,Q&A
62969,message #198584,EditPart can't receive REQ_OPEN and REQ_SELECTION request,victor fiu,Q&A
847558,message #1463247,Eclipse unable to clean build output,Andrew ''Bass'' Shcheglov,Q&A
75489,message #235683,reusing package explorer in a RCP,Eclipse User,Q&A
100675,message #307808,CVS weirdness,Thomas Hallgren,Q&A
126714,message #389445,OSGI questions,Eclipse User,Q&A
88943,message #275421,J2EE plug-ins,Eclipse User,Q&A
447691,message #999268,Manually creating and firing events from inside another listener,Maya L.,Q&A
43891,message #142615,String replace in all project,Eclipse User,Q&A
116469,message #354712,Adding an encrypted password to a custom ODA implementation.,Eclipse User,Q&A
479072,message #1044898,cross compile PATH not found,tupac nymar,Q&A
448905,message #1000839,BIRT Report Prompting for Username/Password,birt user,Q&A
129360,message #399523,EMF generated code for a Model with subpackage : eContainer results?,Eclipse User,Q&A
1081708,message #1744976,Cannot remove an explorer hierarchy attached to top of main editor window,Matthew Dowell,Q&A
1073338,message #1718540,MQTT Subscriber Parallel Processing,Rahul Opengts,Q&A
628433,message #1220983,Suddenly multiple error messages,Eustace Fril,Q&A
1084906,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,Radhika Raghavendran,Q&A
20389,message #65406,Row header width resizable,Eclipse User,Q&A
52225,message #166857,Can one hooks the events of standard menu items,Eclipse User,Q&A
806200,message #1416814,Out of memory for large report,andy Moses,Q&A
786108,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Shafiqul Alam,Q&A
1085198,message #1758211,Eclipse Hang w/ JDK 1.8.0_121,Michael Giroux,Q&A
87374,message #271055,Default Perspective and Welcome Screen in 3.0,Lenny Hoffman,Q&A
85563,message #265600,Having trouble committing a file,D. Alvarado,Q&A
104180,message #318140,"java.lang.NullPointerException, at org.eclipse.birt.chart.factory.Generator.getRowExpressions",Eclipse User,Q&A
229194,message #707850,Is there a caching version of org.eclipse.ocl.AbstractEnvironment?,Nicolas Rouquette,Q&A
11315,message #35105,Ecplise SDK refuses to start with Tiger 10.4.5,Eclipse User,Misuse
17699,message #56697,[Announce] QVT Relations implementation,Hajo Eichler,Information
112002,message #341835,Setting parameters via API,Eclipse User,Q&A
490091,message #1067494,External Configuration to Chrome executes no php,Pjotr Bee,Q&A
102038,message #311603,is there a way to use the IWizardPage method performHelp()?,Paul E. Keyser,Q&A
93117,message #286458,access resources,Andreas Pakulat,Q&A
203205,message #649401,[CDO] EClass id,Eclipse User,Q&A
16140,message #51581,NPE when trying to work on SQL file,Lars Vogel,Q&A
53380,message #170228,is it possible to put a text field on toolbar ?,Eclipse User,Q&A
85780,message #266238,How to add filter to Navigator view,jens,Q&A
206939,message #662484,VARIABLE problems,ziga lausegger,Q&A
52666,message #168176,draw2d: mousedragged and draw rectangle,Eclipse User,Q&A
176588,message #562005,Eclipse RCP Developer,xing zheng yi,Recruitment
428103,message #972291,New project from existing code,James Inbody,Q&A
224151,message #701745,(no subject),Jan Reimann,Q&A
18598,message #59626,No. of Users in TPTP,Eclipse User,Q&A
208750,message #668736,[Xtext 2.0] How to loose up member order in grammar,Alex Ruiz,Q&A
89982,message #278136,An exception occurred while launching help.,Al Mising name,Q&A
574076,message #1162611,[EMFStore] command stack notification storms,Scott Dybiec,Q&A
204345,message #653483,setting the time zone for buckminster?,Tamar Cohen,Q&A
125257,message #383631,MOF to EMF,Tony,Q&A
104103,message #317900,Can I please get a zoom text tool in eclipse!!!,Eclipse User,Q&A
55792,message #177310,Debuggers help needed,Eclipse User,Q&A
56852,message #180525,error when creating Resource,Eclipse User,Misuse
25976,message #84190,Manage Bundle starting/loading,Eclipse User,Q&A
194869,message #620492,JBI Deployment,Eclipse User,Q&A
780872,message #1383997,Change the maximum value for y axis,Miroslav Borský,Q&A
39747,message #129230,Merge EMF (UML) Models,Pierre,Q&A
1081024,message #1742836,OLE Automation in Java does not send e-mail from all computers,John Vanek,Q&A
24644,message #79842,[Draw2D] Jagged lines,Eclipse User,Q&A
41249,message #134024,jar library won't update?,Vincent Jenks,Q&A
190270,message #603555,Re: Eclipse Swing forms designer,John Bailo,Q&A
17805,message #56983,Some questions on how to best develop on top of webtools,Raphael A. Bauer,Q&A
18778,message #60196,An entry point named 'default' does not exist.,Steffen Peil,Q&A
787710,message #1393534,Kura and Apache ACE,Eclipse User,Q&A
1081155,message #1743217,Running e4 RCP application on GTK2,Dmitry Perl,Q&A
87694,message #271976,swt documentation locally,Thomas Nehring,Q&A
186101,message #590443,Problem in debugging with DSF.,Dmitri Pikus,Q&A
21124,message #67762,Question about OCL example,Williams Mising name,Q&A
64319,message #202516,how to access the commandstack,Jens Bartelheimer,Q&A
9917,message #30430,How to use SDK to launch terminal window,Wendy Zheng,Q&A
18418,message #59022,Mailing list problems ?,D Kelsey,Q&A
55144,message #175301,Cygwin or MinGW for CDT 3.1.1?,Eclipse User,Misuse
29928,message #97076,No C++ Item in New Project Dialog Box,Eclipse User,Q&A
54507,message #173487,Trouble accessing cvs 1.11.10 and 1.11.11,Eclipse User,Q&A
32616,message #105766,I've lost the Update Manager!,Eclipse User,Q&A
222457,message #699639,Eclipse Synchronization,Dark_Forge99,Q&A
373413,message #908843,Annotations parsing in Eclipse view plugin,Yuriy Dyachenko,Q&A
792532,message #1398966,New Class File,Adam Tong,Q&A
202053,message #645641,How to get CRC and compressed size of files within eclipse-created jar-file?,Evgeny Avtsin,Q&A
1087783,message #1769127,debugging eavp as plugin in Eclipse ICE,Christopher Hoffman,Q&A
54400,message #173195,Chinese characters on chart can not be properly rendered,Eclipse User,Q&A
106930,message #326925,Extension Point Schema,Manuel Selva,Q&A
1095030,message #1794784,Plain Language parser in xtext xbase,Sreedharan C,Q&A
366517,message #892294,library with joint data set not setting parameter,mike b,Q&A
210176,message #674059,"Eclipse runs as one user, but not another",Adrian Bowyer,Q&A
63975,message #201530,Undefined symbols,Eclipse User,Q&A
1087762,message #1769061,Support for JSON binary encodings in Titan: BSON,Elemer Lelik,Information
327125,message #841640,Strange warning message in grammar editor,Cristiano Gaviao,Q&A
61628,message #194480,min/max logarithmic Y axes,Thomas Escolan,Q&A
443250,message #993426,ATL transformation to XSD Schema,Leonid Ripeynih,Q&A
95528,message #293330,Table styles help needed,Raheel Ashraf,Q&A
32256,message #104650,Escape to go to default tool,Maged Elaasar,Q&A
26170,message #84807,Debugging problem,Eclipse User,Q&A
504563,message #1085905,Clone a Git repository is slow,Antti Havulinna,Q&A
15137,message #48356,Eclipse + SameTime License ?,Charlie Kelly,Misuse
272907,message #774187,"Using the Value ""*"" in Data Sets isn't possible",Maria Schubert,Q&A
3878,message #11549,Get involved !? - In what ? a not existing project?,Eclipse User,General discussion
201083,message #642097,Problems migrating to 4.1 (creating target platform),Daniel Ford,Q&A
17477,message #55947,Teneo: Any way to leave DB data dictionary alone when establishing a HbDataStore?,Michael Kanaley,General discussion
1297,message #3503,Contract UI Design for Eclipse,Eclipse User,Recruitment
98146,message #300881,Eclipse will not start,Eclipse User,Q&A
187397,message #594460,Plugin build and listing dependencies,michael.sacarny,Q&A
